Etunimi,Lukumäärä
Juha,"43,620"
Timo,"42,688"
Matti,"38,686"
Kari,"37,779"
Mikko,"37,580"
Jari,"36,981"
Antti,"36,289"
Mika,"33,177"
Jukka,"32,650"
Markku,"30,942"
Pekka,"29,627"
Hannu,"28,000"
Janne,"27,393"
Heikki,"26,630"
Sami,"26,193"
Ari,"26,095"
Ville,"25,716"
Marko,"24,856"
Seppo,"24,782"
Petri,"23,803"
Jani,"22,619"
Lauri,"22,131"
Teemu,"20,150"
Harri,"19,181"
Erkki,"18,148"
Jorma,"18,047"
Jussi,"17,728"
Jarmo,"17,680"
Pasi,"17,652"
Jaakko,"17,304"
Eero,"17,098"
Juho,"17,088"
Pentti,"17,002"
Niko,"16,922"
Toni,"16,641"
Risto,"16,629"
Jouni,"16,140"
Esa,"16,046"
Aleksi,"15,780"
Markus,"15,749"
Arto,"15,500"
Raimo,"15,435"
Tomi,"15,398"
Tuomas,"15,372"
Vesa,"14,751"
Olli,"14,749"
Pertti,"14,496"
Joni,"14,485"
Kimmo,"14,410"
Tommi,"14,265"
Martti,"13,930"
Reijo,"13,929"
Tero,"13,689"
Jouko,"13,604"
Veikko,"13,264"
Joonas,"13,233"
Eetu,"13,188"
Leo,"12,962"
Henri,"12,708"
Esko,"12,185"
Elias,"12,172"
Jarkko,"11,159"
Jesse,"11,118"
Kalle,"11,050"
Joona,"10,968"
Ilkka,"10,792"
Eino,"10,719"
Mikael,"10,638"
Onni,"10,492"
Matias,"10,048"
Jere,"10,005"
Tuomo,"9,950"
Paavo,"9,735"
Juuso,"9,705"
Pauli,"9,546"
Leevi,"9,532"
Tapio,"9,216"
Arttu,"9,003"
Joel,"8,875"
Veli,"8,477"
Jyrki,"8,413"
Väinö,"8,349"
Simo,"8,333"
Daniel,"8,285"
Niklas,"8,285"
Lasse,"8,091"
Otto,"7,936"
Aki,"7,923"
Riku,"7,892"
Oliver,"7,830"
Keijo,"7,828"
Kai,"7,693"
Veeti,"7,691"
Miika,"7,470"
Niilo,"7,397"
Juhani,"7,393"
Toivo,"7,354"
Valtteri,"7,310"
Jarno,"7,239"
Rasmus,"7,163"
Jan,"7,000"
Mauri,"6,930"
