Etunimi,Lukumäärä
Juhani,"276,430"
Olavi,"138,028"
Tapani,"133,488"
Antero,"132,300"
Johannes,"131,461"
Tapio,"112,803"
Mikael,"106,237"
Kalevi,"88,046"
Matti,"75,675"
Pekka,"75,166"
Petteri,"73,388"
Ilmari,"68,810"
Matias,"64,788"
Sakari,"63,115"
Antti,"54,367"
Kristian,"54,366"
Juha,"52,719"
Heikki,"48,780"
Timo,"47,083"
Mikko,"44,258"
Markus,"43,300"
Kari,"42,340"
Aleksi,"40,774"
Jari,"39,603"
Jukka,"38,702"
Oskari,"38,277"
Markku,"36,557"
Jaakko,"36,467"
Petri,"36,414"
Mika,"36,079"
Henrik,"35,673"
Kalervo,"35,162"
Lauri,"34,344"
Ville,"33,259"
Veikko,"32,297"
Hannu,"32,088"
Valtteri,"31,181"
Janne,"29,770"
Seppo,"29,660"
Erkki,"29,582"
Marko,"29,275"
Ari,"28,911"
Elias,"28,756"
Tuomas,"27,994"
Sami,"27,671"
Ensio,"27,582"
Juho,"26,669"
Onni,"25,458"
Erik,"25,022"
Eemeli,"24,248"
Eero,"24,043"
Jani,"23,961"
Pentti,"23,532"
Samuli,"23,221"
Martti,"22,503"
Jussi,"22,061"
Eino,"21,725"
Teemu,"21,601"
Harri,"21,250"
Samuel,"21,230"
Oliver,"20,544"
Jorma,"20,500"
Viljami,"19,917"
Risto,"19,716"
Emil,"19,498"
Jarmo,"19,417"
Veli,"19,135"
Pasi,"18,865"
Esa,"18,849"
Niko,"18,612"
Jouni,"18,484"
Leo,"18,447"
Joonas,"18,254"
Toivo,"18,252"
Arto,"17,997"
Olli,"17,993"
Kalle,"17,683"
Pertti,"17,534"
Toni,"17,472"
Vesa,"17,468"
Raimo,"17,459"
Santeri,"16,665"
Armas,"16,556"
Johan,"16,505"
Esko,"16,438"
Jouko,"16,347"
Väinö,"16,307"
Daniel,"16,163"
Tomi,"16,015"
Paavo,"15,938"
Eetu,"15,851"
Alexander,"15,802"
Kimmo,"15,705"
Henri,"15,647"
Reijo,"15,562"
Joni,"15,313"
Sebastian,"15,158"
Tommi,"14,949"
Tero,"14,740"
Eemil,"14,716"
Otto,"14,488"
Anton,"14,425"
Ilkka,"13,811"
Ilari,"13,753"
Aleksanteri,"13,535"
Pauli,"12,969"
Benjamin,"12,648"
Joona,"12,428"
Jesse,"12,422"
Jarkko,"12,368"
Akseli,"12,264"
Jalmari,"12,146"
Tuomo,"12,029"
Julius,"11,670"
Uolevi,"11,586"
Joel,"11,466"
Vilho,"11,222"
Leevi,"11,071"
Arttu,"11,017"
Aulis,"10,901"
Jere,"10,875"
Juuso,"10,760"
Christian,"10,608"
Niilo,"10,590"
Niklas,"10,447"
Simo,"10,153"
Allan,"10,137"
Elmeri,"10,025"
Aukusti,"9,827"
Einari,"9,795"
Lasse,"9,711"
Jan,"9,594"
Jyrki,"9,539"
Kullervo,"9,197"
Rasmus,"9,169"
Artturi,"9,095"
Keijo,"9,082"
Aatos,"9,022"
Kai,"8,974"
Kaarlo,"8,945"
Veeti,"8,846"
Juhana,"8,832"
Miika,"8,793"
Topias,"8,759"
Mauri,"8,747"
Aki,"8,741"
Aarne,"8,634"
Reino,"8,612"
Riku,"8,564"
Hermanni,"8,229"
Karl,"8,199"
Kauko,"8,156"
Joonatan,"8,135"
Peter,"8,090"
Jarno,"7,847"
Aaro,"7,805"
Eerik,"7,750"
Aaron,"7,533"
Robert,"7,419"
Patrik,"7,403"
Eelis,"7,355"
Vilhelm,"7,163"
Yrjö,"7,136"
Roope,"7,040"
Ossi,"7,021"
Viljo,"7,014"
Kasper,"6,974"
Aapo,"6,902"
Atte,"6,802"
Rauno,"6,788"
Anssi,"6,772"
Miro,"6,626"
Valdemar,"6,619"
Anders,"6,592"
Oiva,"6,573"
Henry,"6,524"
Ismo,"6,513"
Arvo,"6,505"
Teuvo,"6,504"
Oskar,"6,479"
Alvar,"6,435"
Alex,"6,370"
Tauno,"6,332"
Samu,"6,240"
Rainer,"6,174"
Eeli,"6,144"
Veijo,"6,113"
Taneli,"6,111"
Osmo,"6,100"
Verneri,"6,041"
Taisto,"5,991"
Rafael,"5,847"
Tuukka,"5,841"
Asko,"5,838"
August,"5,789"
Lassi,"5,778"
Henrikki,"5,775"
Hugo,"5,762"
Andreas,"5,683"
Iisakki,"5,673"
Kasperi,"5,643"
Vili,"5,641"
Edvard,"5,620"
Urho,"5,545"
Kim,"5,541"
Aatu,"5,535"
Wilhelm,"5,490"
Aimo,"5,487"
Max,"5,478"
Konsta,"5,464"
Aarre,"5,445"
Topi,"5,430"
Albert,"5,387"
Vihtori,"5,288"
Ahti,"5,280"
Sulo,"5,271"
William,"5,227"
Jimi,"5,212"
Mauno,"5,153"
Lars,"5,126"
Joakim,"5,113"
Miikka,"5,027"
Veikka,"5,018"
Fredrik,"4,995"
Nikolai,"4,962"
Otso,"4,926"
Roni,"4,907"
