Etunimi,Lukumäärä
Anne,"30,014"
Päivi,"29,604"
Tuula,"29,496"
Anna,"28,259"
Minna,"27,546"
Sari,"27,454"
Leena,"27,084"
Pirjo,"27,073"
Ritva,"26,432"
Tiina,"25,707"
Marja,"25,379"
Riitta,"24,381"
Tarja,"24,178"
Laura,"23,199"
Satu,"21,220"
Jaana,"21,216"
Heidi,"21,200"
Hanna,"21,029"
Sanna,"20,938"
Sirpa,"20,708"
Aino,"20,705"
Pirkko,"20,647"
Seija,"20,291"
Maria,"20,071"
Eija,"19,645"
Raija,"19,635"
Liisa,"19,510"
Johanna,"19,429"
Eeva,"19,346"
Merja,"19,278"
Kirsi,"19,178"
Arja,"18,004"
Anja,"17,493"
Paula,"17,036"
Maija,"16,850"
Jenni,"16,767"
Eila,"16,547"
Ulla,"16,316"
Elina,"16,260"
Katja,"15,710"
Emma,"15,264"
Mari,"15,076"
Nina,"14,876"
Heli,"14,754"
Anni,"14,655"
Sirkka,"13,846"
Emilia,"12,746"
Anu,"12,472"
Sofia,"12,332"
Mirja,"12,297"
Sara,"12,165"
Helena,"12,110"
Tuija,"12,052"
Ella,"12,042"
Terttu,"11,954"
Kirsti,"11,894"
Raili,"11,814"
Niina,"11,586"
Suvi,"11,259"
Hilkka,"11,173"
Kaija,"11,003"
Pia,"10,977"
Tanja,"10,861"
Kaisa,"10,846"
Jenna,"10,735"
Veera,"10,395"
Kati,"10,349"
Henna,"10,332"
Saara,"10,313"
Maarit,"10,256"
Marjo,"10,155"
Noora,"10,136"
Julia,"10,101"
Katri,"9,832"
Susanna,"9,766"
Iida,"9,737"
Aila,"9,677"
Riikka,"9,605"
Leila,"9,592"
Venla,"9,579"
Irma,"9,241"
Outi,"9,109"
Helmi,"9,103"
Lea,"9,050"
Milla,"9,040"
Mervi,"8,971"
Jonna,"8,828"
Marja-Leena,"8,786"
Taina,"8,726"
Emmi,"8,691"
Virpi,"8,575"
Miia,"8,468"
Kerttu,"8,246"
Sinikka,"8,210"
Sonja,"8,177"
Tiia,"8,042"
Lotta,"7,939"
Siiri,"7,715"
Marika,"7,701"
Marja-Liisa,"7,629"
Aada,"7,625"
Elli,"7,614"
Vilma,"7,585"
Oona,"7,412"
Irja,"7,399"
Terhi,"7,373"
Sini,"7,355"
Elsa,"7,347"
Annika,"7,213"
Sanni,"7,201"
Ida,"7,131"
Mira,"7,100"
Mia,"6,961"
Teija,"6,940"
Viivi,"6,652"
Nea,"6,548"
Essi,"6,539"
Linda,"6,416"
Sisko,"6,297"
Olivia,"6,235"
Piia,"6,164"
Anita,"6,105"
Taru,"6,098"
Petra,"5,734"
Amanda,"5,664"
Roosa,"5,653"
Lilja,"5,647"
Elisa,"5,525"
Iina,"5,504"
Enni,"5,480"
Salla,"5,455"
Pinja,"5,442"
Ronja,"5,429"
Marita,"5,412"
Silja,"5,380"
Anneli,"5,355"
Erja,"5,305"
Airi,"5,152"
Eevi,"5,142"
Ellen,"5,129"
Maire,"5,046"
Inka,"4,978"
Milja,"4,872"
Ilona,"4,860"
Krista,"4,843"
Linnea,"4,799"
Jasmin,"4,767"
Riina,"4,763"
Aune,"4,736"
Vuokko,"4,724"
Pihla,"4,698"
Eveliina,"4,600"
Anna-Liisa,"4,595"
Iiris,"4,546"
Jenny,"4,489"
Alisa,"4,484"
Marianne,"4,474"
Marjut,"4,455"
Saana,"4,353"
