Etunimi,Lukumäärä
Maria,"198,904"
Helena,"119,273"
Anneli,"115,268"
Johanna,"111,731"
Kaarina,"91,364"
Hannele,"85,317"
Marjatta,"79,384"
Kristiina,"75,175"
Emilia,"71,092"
Sofia,"64,515"
Elina,"63,697"
Liisa,"61,568"
Maarit,"57,189"
Susanna,"56,779"
Tuulikki,"55,894"
Annikki,"49,447"
Katariina,"48,164"
Leena,"46,023"
Anna,"45,595"
Marja,"42,470"
Sinikka,"39,955"
Inkeri,"38,759"
Riitta,"37,219"
Aino,"36,445"
Anne,"34,632"
Päivi,"33,181"
Tuula,"33,172"
Karoliina,"30,888"
Kyllikki,"30,472"
Orvokki,"30,018"
Pauliina,"29,989"
Maija,"29,750"
Minna,"29,469"
Sari,"29,042"
Ritva,"28,860"
Pirjo,"28,545"
Tellervo,"28,534"
Eveliina,"28,451"
Irmeli,"27,566"
Tiina,"27,350"
Laura,"26,634"
Marika,"26,492"
Elisabet,"25,542"
Tarja,"25,467"
Eeva,"25,441"
Satu,"24,801"
Aurora,"24,593"
Mari,"24,388"
Ilona,"24,327"
Amanda,"24,115"
Hanna,"24,038"
Olivia,"23,909"
Heidi,"23,697"
Annika,"23,627"
Matilda,"22,676"
Jaana,"22,643"
Marita,"22,549"
Julia,"22,357"
Sanna,"22,351"
Sirpa,"22,351"
Pirkko,"22,154"
Seija,"21,775"
Irene,"21,663"
Kirsi,"21,479"
Marianne,"21,289"
Eija,"21,123"
Anita,"20,984"
Elisabeth,"20,895"
Linnea,"20,862"
Katriina,"20,824"
Raija,"20,734"
Sisko,"20,599"
Merja,"20,462"
Anja,"20,273"
Tuulia,"20,005"
Anni,"19,886"
Helmi,"19,652"
Marjaana,"19,605"
Elisa,"19,213"
Arja,"19,131"
Kaisa,"19,119"
Eila,"19,044"
Marketta,"18,789"
Paula,"18,708"
Ulla,"18,650"
Emma,"17,970"
Jenni,"17,956"
Iida,"17,552"
Katja,"17,001"
Heli,"16,284"
Terttu,"16,029"
Nina,"15,937"
Sirkka,"15,751"
Maaria,"15,455"
Mirjami,"15,411"
Anniina,"15,348"
Ella,"15,070"
Sara,"15,036"
Aleksandra,"14,952"
Ida,"14,539"
Alexandra,"14,454"
Birgitta,"14,398"
Mirja,"14,069"
Suvi,"14,007"
Kirsti,"13,917"
Katri,"13,754"
Riikka,"13,453"
Anu,"13,339"
Marjut,"13,257"
Hilkka,"13,113"
Ellen,"12,740"
Tuija,"12,726"
Raili,"12,571"
Kaija,"12,471"
Saara,"12,386"
Niina,"12,337"
Pia,"12,203"
Noora,"11,894"
Kerttu,"11,887"
Kristina,"11,880"
Lotta,"11,635"
Alina,"11,598"
Jenna,"11,584"
Marjo,"11,512"
Veera,"11,511"
Tanja,"11,483"
Lea,"11,367"
Henna,"11,308"
Aila,"11,151"
Kati,"10,984"
Leila,"10,781"
Aada,"10,772"
Elsa,"10,751"
Marja-Leena,"10,727"
Elli,"10,685"
Venla,"10,546"
Aulikki,"10,323"
Irma,"10,315"
Milla,"10,192"
Margareta,"10,180"
Emmi,"10,082"
Outi,"10,015"
Maritta,"10,008"
Miia,"9,768"
Erika,"9,767"
Marja-Liisa,"9,700"
Hellevi,"9,643"
Siiri,"9,641"
Vilhelmiina,"9,585"
Mervi,"9,575"
Päivikki,"9,514"
Taina,"9,458"
Lilja,"9,420"
Sini,"9,300"
Virpi,"9,279"
Jonna,"9,230"
Helinä,"9,166"
Irja,"9,081"
Josefiina,"9,009"
Tiia,"8,973"
Sonja,"8,897"
Mirjam,"8,840"
Alisa,"8,832"
Jasmin,"8,770"
Oona,"8,576"
Vilma,"8,441"
Margit,"8,265"
Anna-Liisa,"8,175"
Sanni,"8,166"
Mia,"8,110"
Linda,"7,937"
Terhi,"7,875"
Mira,"7,775"
Roosa,"7,728"
Nea,"7,561"
Viola,"7,522"
Viivi,"7,519"
Teija,"7,229"
Essi,"7,205"
Iiris,"7,196"
Isabella,"7,159"
Christina,"6,996"
Eliisa,"6,972"
Marie,"6,902"
Piia,"6,886"
Carita,"6,834"
Martta,"6,833"
Iina,"6,804"
Enni,"6,803"
Tuuli,"6,742"
Aune,"6,730"
Taru,"6,649"
Juulia,"6,639"
Petra,"6,590"
Krista,"6,567"
Marjukka,"6,546"
Mikaela,"6,542"
Eva,"6,515"
Annukka,"6,378"
Inka,"6,338"
Eevi,"6,326"
Silja,"6,295"
Aliisa,"6,212"
Hillevi,"6,136"
Lyydia,"6,116"
Maire,"6,066"
Henriikka,"5,995"
Salla,"5,963"
Milja,"5,946"
Jenny,"5,925"
Elena,"5,916"
Esteri,"5,906"
Pinja,"5,891"
Airi,"5,865"
Vuokko,"5,864"
Ronja,"5,854"
Susanne,"5,838"
Riina,"5,799"
Camilla,"5,794"
Amalia,"5,766"
Sylvia,"5,647"
Katarina,"5,638"
Erja,"5,618"
Elise,"5,427"
Aili,"5,419"
Reetta,"5,395"
Eerika,"5,285"
Alice,"5,237"
Pihla,"5,218"
Lumi,"5,158"
Jessica,"5,142"
Minea,"5,093"
Cecilia,"5,087"
Minttu,"5,083"
Onerva,"4,997"
Meri,"4,906"
Saana,"4,887"
Aava,"4,863"
Alma,"4,834"
Anitta,"4,764"
Nelli,"4,756"
Elviira,"4,664"
Soile,"4,628"
Ester,"4,616"
Hilla,"4,612"
Helvi,"4,589"
Ada,"4,584"
Isla,"4,576"
Adele,"4,462"
Irina,"4,395"
Asta,"4,372"
Talvikki,"4,370"
