Sukunimi,Yhteensä
Korhonen,"21,551"
Virtanen,"20,807"
Mäkinen,"19,227"
Nieminen,"19,027"
Mäkelä,"18,346"
Hämäläinen,"17,501"
Laine,"17,337"
Heikkinen,"16,873"
Koskinen,"16,451"
Järvinen,"15,370"
Lehtonen,"15,179"
Lehtinen,"14,375"
Saarinen,"14,114"
Salminen,"13,902"
Heikkilä,"13,787"
Niemi,"13,770"
Heinonen,"13,769"
Kinnunen,"13,600"
Salonen,"13,267"
Turunen,"12,765"
Salo,"12,574"
Laitinen,"12,203"
Rantanen,"11,963"
Tuominen,"11,950"
Karjalainen,"11,938"
Mattila,"11,533"
Jokinen,"11,501"
Savolainen,"10,709"
Lahtinen,"10,647"
Ahonen,"10,601"
Ojala,"10,452"
Leppänen,"10,277"
Kallio,"9,785"
Leinonen,"9,708"
Väisänen,"9,651"
Hiltunen,"9,618"
Miettinen,"9,526"
Pitkänen,"9,519"
Manninen,"9,447"
Aaltonen,"9,430"
Koivisto,"9,349"
Hakala,"9,253"
Anttila,"9,236"
Laaksonen,"8,734"
Lehto,"8,682"
Hirvonen,"8,664"
Räsänen,"8,616"
Laakso,"8,530"
Rantala,"8,489"
Toivonen,"8,461"
Aalto,"8,397"
Mustonen,"8,374"
Niemelä,"8,172"
Moilanen,"8,085"
Nurmi,"8,058"
Peltonen,"8,009"
Seppälä,"7,897"
Pulkkinen,"7,827"
Hänninen,"7,805"
Saari,"7,790"
Kettunen,"7,733"
Lappalainen,"7,646"
Koskela,"7,571"
Partanen,"7,536"
Kemppainen,"7,467"
Seppänen,"7,451"
Kauppinen,"7,434"
Ahola,"7,424"
Salmi,"7,331"
Lahti,"7,322"
Aho,"7,115"
Ikonen,"7,096"
Huttunen,"7,070"
Suominen,"7,005"
Halonen,"6,953"
Pesonen,"6,932"
Kärkkäinen,"6,898"
Nyman,"6,822"
Mikkonen,"6,748"
Peltola,"6,739"
Koponen,"6,728"
Lindholm,"6,719"
Johansson,"6,713"
Niskanen,"6,703"
Oksanen,"6,669"
Vainio,"6,661"
Heiskanen,"6,598"
Mikkola,"6,594"
Koski,"6,427"
Honkanen,"6,426"
Immonen,"6,354"
Harju,"6,308"
Nurminen,"6,275"
Vuorinen,"6,272"
Määttä,"6,268"
Kokkonen,"6,187"
Rissanen,"6,082"
Karppinen,"6,076"
Mäki,"5,961"
Laukkanen,"5,925"
Heino,"5,884"
Juntunen,"5,872"
Rajala,"5,871"
Rautiainen,"5,793"
Kangas,"5,781"
Keränen,"5,773"
Parviainen,"5,713"
Jääskeläinen,"5,706"
Paananen,"5,693"
Hartikainen,"5,670"
Leino,"5,577"
Mäenpää,"5,577"
Karlsson,"5,544"
Lindström,"5,461"
Ruotsalainen,"5,456"
Uusitalo,"5,405"
Kokko,"5,361"
Martikainen,"5,355"
Hakkarainen,"5,348"
Hyvärinen,"5,345"
Laurila,"5,336"
Toivanen,"5,253"
Tikkanen,"5,232"
Nevalainen,"5,228"
Viitanen,"5,189"
Salmela,"5,174"
Makkonen,"5,013"
Leskinen,"4,993"
Kuusisto,"4,984"
Nykänen,"4,975"
Hietala,"4,939"
Holopainen,"4,900"
Häkkinen,"4,880"
Andersson,"4,862"
Ranta,"4,843"
Korpela,"4,832"
Tamminen,"4,826"
Eriksson,"4,799"
Kukkonen,"4,788"
Härkönen,"4,786"
Karhu,"4,758"
Hyvönen,"4,705"
Karvonen,"4,705"
Tiainen,"4,690"
Pasanen,"4,659"
Jokela,"4,658"
Jaakkola,"4,654"
Saarela,"4,563"
Väänänen,"4,523"
Sillanpää,"4,507"
Rautio,"4,493"
Kosonen,"4,488"
Kujala,"4,478"
Virta,"4,464"
Malinen,"4,460"
Autio,"4,385"
Lindroos,"4,376"
